Name,ISIN,Symbol,Market,Currency,Turnover,MIC
European Equities,,,,,,
2020 BULKERS,BMG9156K1018,2020,Oslo Børs,NOK,24660656.70,XOSL
2CRSI,FR0013341781,AL2SI,Euronext Growth Paris,EUR,2334575605,ALXP
3D SYSTEMS CORP,US88554D2053,4DDD,EuroTLX,EUR,13.02,ETLX
3M,US88579Y1010,4MMM,EuroTLX,EUR,1200.00,ETLX
4AIM SICAF,IT0005204729,AIM,Euronext Growth Milan,EUR,112.00,EXGM
4AIM SICAF COMP 2,IT0005440323,AIM2,Euronext Growth Milan,EUR,11232.40,EXGM
5TH PLANET GAMES,DK0060945467,5PG,Euronext Expand Oslo,NOK,225066506,XOAS
74SOFTWARE,FR0011040500,74SW,Euronext Paris,EUR,77891.50,XPAR
A.B.P. NOCIVELLI,IT0005439861,ABP,Euronext Growth Milan,EUR,28725.00,EXGM
A2A,IT0001233417,A2A,Euronext Milan,EUR,21134812993,MTAA
AALBERTS NV,NL0000852564,AALB,Euronext Amsterdam,EUR,9002204.62,XAMS
AASEN SPAREBANK,NO0010672181,AASB,Euronext Growth Oslo,NOK,15326.10,MERK
AATECH,IT0005548521,AAT,Euronext Growth Milan,EUR,14947.50,EXGM
AB INBEV,BE0974293251,ABI,Euronext Brussels,EUR,92916257.01,XBRU
AB SCIENCE,FR0010557264,AB,Euronext Paris,EUR,498087948,XPAR
AB SCIENCE BSA,FR001400ZRT0,ABBS,Euronext Paris,EUR,-,XPAR
AB SCIENCE BSA 25,FR00140118Z8,ABSBS,Euronext Growth Paris,EUR,-,ALXP
ABATTOIR,BE0946377455,-,Euronext Expert Market,EUR,1350.00,VPXB
ABBVIE,US00287Y1091,4ABBV,EuroTLX,EUR,4857.00,ETLX
ABC ARBITRAGE,FR0004040608,ABCA,Euronext Paris,EUR,169017.55,XPAR
ABC COMPANY,IT0005466294,ABC,Euronext Growth Milan,EUR,5070.00,EXGM
ABEO,FR0013185857,ABEO,Euronext Paris,EUR,18842.20,XPAR
ABG SUNDAL COLLIER,NO0003021909,ABG,Oslo Børs,NOK,763350.70,XOSL
ABIONYX PHARMA,FR0012616852,ABNX,Euronext Paris,EUR,75401252,XPAR
ABITARE IN,IT0005445280,ABT,Euronext Milan,EUR,75619.02,MTAA
ABIVAX,FR0012333284,ABVX,Euronext Paris,EUR,165336917.35,XPAR
ABL Diagnostics,FR001400AHX6,ABLD,Euronext Paris,EUR,897.90,XPAR
